"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2019,9,146745307,29084769
2019,12,146745310,29084770
2019,12,146745318,29084771
2019,20,146745323,29084772
2019,18,146745325,29084773
2019,2,146745328,29084774
2019,9,146745330,29084775
2019,12,146745333,29084776
2019,3,146745339,29084777
2019,12,146745340,29084778
2019,12,146745341,29084779
2019,12,146745343,29084780
2019,12,146745345,29084781
2019,12,146745346,29084782
2019,12,146745347,29084783
2019,12,146745349,29084784
2019,6,146745358,29084786
2019,12,146745361,29084787
2019,12,146745374,29084789
2019,3,146745375,29084790
2019,12,146745378,29084791
2019,21,142129369,27581003
2019,21,142129362,27580999
2019,12,143135549,27886827
2019,10,143135548,27891807
2019,18,143135552,27886829
2019,12,143135568,27886835
2019,12,143135579,27886840
2019,22,143135583,27886841
2019,12,143135594,27886845
2019,12,143135598,27886848
2019,5,143135602,27886851
2019,4,143135602,27886850
2019,12,143135607,27886853
2019,12,143135618,27886857
2019,12,143135628,27886862
2019,12,143135643,27886870
2019,12,143135649,27886875
2019,12,143135653,27886877
2019,12,143135658,27886880
2019,12,143135668,27886882
2019,12,143135669,27886883
2019,3,143135670,27886884
2019,12,143135674,27886885
2019,12,143135682,27886888
2019,12,143135693,27886894
2019,12,143135694,27886895
2019,12,142129308,27580974
2019,12,142129428,27581030
2019,9,142129427,27581029
2019,12,142129438,27581035
2019,20,142129486,27581057
2019,12,142129489,27581058
2019,12,142129504,27581064
2019,22,142129508,27581066
2019,3,142129543,27581080
2019,3,142129555,27581086
2019,11,142129560,27581088
2019,3,142129592,27581099
2019,12,142129606,27581106
2019,12,142129607,27581107
2019,12,142129623,27581113
2019,18,142129627,27581116
2019,12,142129636,27581119
2019,12,142129660,27581129
2019,12,142129668,27581132
2019,12,142129674,27581135
2019,20,142129750,27581167
2019,12,142129764,27581174
2019,22,142129766,27581176
2019,12,142129769,27581178
2019,3,142129775,27581180
2019,12,142129791,27581186
2019,22,142129799,27581189
2019,20,142129805,27581194
2019,22,142129827,27581205
2019,22,142129831,27581208
2019,20,142129843,27581213
2019,22,142129847,27581214
2019,20,142129851,27581218
2019,22,142129856,27581220
2019,22,142129861,27581222
2019,12,142129865,27581223
2019,12,142129870,27581227
2019,12,142129877,27581229
2019,12,142129895,27581235
2019,12,142129903,27581239
2019,12,142129907,27581241
2019,12,142129908,27581242
2019,12,142129920,27581247
2019,12,142129922,27581248
2019,12,142129924,27581249
2019,12,142129925,27581250
2019,12,142129927,27581252
2019,12,142129930,27581253
2019,12,142129936,27581257
2019,3,142129967,27581268
2019,12,142129976,27581269
2019,12,142129980,27581270
2019,12,142129984,27581271
2019,12,142130000,27581276
2019,12,142130011,27581278
2019,12,142130042,27581284
2019,9,142130043,27581285
2019,12,142130049,27581287
2019,12,142130057,27581289
2019,12,142130059,27581290
2019,12,142130061,27581291
2019,12,142130064,27581292
2019,3,142130066,27581293
2019,12,142130067,27581294
2019,12,142130070,27581295
2019,9,142130071,27581296
2019,12,142130073,27581297
2019,12,142130074,27581298
2019,3,142130080,27581301
2019,12,142130112,27581302
2019,4,142130113,27581303
2019,12,142130114,27581304
2019,12,142130115,27581305
2019,12,142130116,27581306
2019,20,142130117,27581307
2019,12,142130119,27581309
2019,12,142130118,27581308
2019,2,142130121,27581310
2019,18,142130122,27581311
2019,20,142130123,27581312
2019,18,142130125,27581313
2019,12,142130126,27581314
2019,12,142130128,27581315
2019,12,142130129,27581316
2019,12,142130134,27581318
2019,12,142130136,27581319
2019,12,142130138,27581320
2019,12,142130147,27581322
2019,12,142130149,27581323
2019,12,142130151,27581324
2019,12,142130155,27581325
2019,20,142130156,27581326
2019,12,142130157,27581327
2019,12,142130158,27581328
2019,12,142130159,27581329
2019,20,142130161,27581330
2019,22,142130163,27581331
2019,12,142130164,27581332
2019,12,142130168,27581333
2019,3,142130169,27581334
2019,22,142130170,27581335
2019,2,142130171,27581336
2019,22,142130173,27581337
2019,12,142130184,27581338
2019,22,142130187,27581339
2019,18,142130188,27581340
2019,2,142130191,27581341
2019,12,142130192,27581342
2019,3,142130193,27581343
