"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2019,125007397,128494883,13,38704724
2019,125007396,128494883,3,38704723
2019,125007398,128494884,3,38704725
2019,125007399,128494885,3,38704726
2019,125007402,128494887,9,38704727
2019,125007402,128494888,1,38704728
2019,125007403,128494889,16,38704729
2019,125007410,128494895,18,38704730
2019,125007415,128494900,3,38704731
2019,125007419,128494904,18,38704732
2019,128261407,133056422,18,40047238
2019,125007425,128494909,3,38704734
2019,125007426,128494909,1,38704735
2019,125007427,128494910,24,38704736
2019,125007428,128494911,3,38704737
2019,125007429,128494912,15,38704738
2019,125007430,128494913,3,38704739
2019,125007432,128494915,9,38704740
2019,125007435,128494916,16,38704743
2019,125007434,128494917,15,38704742
2019,125007434,128494916,25,38704741
2019,125007435,128494917,15,38704744
2019,125007437,128494919,3,38704745
2019,128261407,133056420,18,40047236
2019,128261407,133056423,18,40047239
2019,128261414,133056426,1,40047240
2019,128261415,133056426,1,40047241
2019,128261434,133056447,3,40047246
2019,125007444,128494929,24,38704751
2019,128261435,133056448,3,40047247
2019,125007447,128494932,3,38704753
2019,125007449,128494934,24,38704754
2019,125007452,128509938,1,38704756
2019,125007452,128509937,3,38704755
2019,125007453,128509939,3,38704757
2019,125007455,128509941,3,38704758
2019,125007456,128509942,17,38704759
2019,125007457,128509943,1,38704760
2019,125007461,128509949,17,38704761
2019,125007464,128509958,21,38704762
2019,125007465,128509959,17,38704763
2019,128261438,133056451,24,40047248
2019,128261443,133056456,1,40047249
2019,128261453,133056468,21,40047251
2019,125007485,128509978,1,38704769
2019,125007486,128509978,1,38704770
2019,125007487,128509979,3,38704771
2019,125007491,128509983,3,38704776
2019,125007492,128509984,3,38704777
2019,125007493,128509985,3,38704778
2019,125007496,128509989,18,38704779
2019,125007497,128509990,3,38704780
2019,125007500,128509993,22,38704781
2019,128261465,133056484,3,40047253
2019,125007504,128509997,19,38704783
2019,125007505,128509998,19,38704784
2019,125007506,128509999,3,38704785
2019,125007509,128510002,12,38704786
2019,125007511,128510004,3,38704787
2019,125007518,128510011,1,38704788
2019,125007519,128510012,3,38704789
2019,125007523,128510023,16,38704790
2019,125007526,128510027,1,38704791
2019,128261468,133056488,24,40047254
2019,128261468,133056489,24,40047255
2019,128261481,133056503,3,40047256
2019,125007538,128510040,16,38704796
2019,125007539,128510041,16,38704797
2019,125007546,128510049,1,38704798
2019,125007549,128510051,24,38704800
2019,125007548,128510051,1,38704799
2019,125007552,128510051,24,38704803
2019,125007550,128510051,24,38704801
2019,125007551,128510051,24,38704802
2019,125007562,128510063,16,38704804
2019,125007563,128510064,16,38704805
2019,125007565,128510067,16,38704806
2019,125007567,128510069,3,38704807
2019,125007568,128510070,18,38704808
2019,125007570,128510072,5,38704809
2019,125007571,128510073,1,38704810
2019,125007572,128510073,1,38704811
2019,128261495,133056520,18,40047261
2019,125007574,128510075,21,38704813
2019,125007578,128510080,24,38704816
2019,125007578,128510081,24,38704817
2019,125007578,128510079,24,38704815
2019,125007578,128510078,24,38704814
2019,125007579,128510082,3,38704818
2019,125007581,128510084,25,38704820
2019,125007581,128510083,1,38704819
2019,125007584,128510087,16,38704821
2019,125007592,128510094,16,38704822
2019,125007593,128510095,24,38704823
2019,125007594,128510096,15,38704824
2019,125007596,128510098,16,38704825
2019,125007596,128510099,1,38704826
2019,125007599,128510102,19,38704827
2019,125007600,128510103,18,38704828
2019,125007600,128510104,18,38704829
2019,125007605,128510109,24,38704831
2019,125007605,128510108,24,38704830
2019,125007608,128510111,19,38704832
2019,125007615,128510117,3,38704833
2019,125007616,128510118,3,38704834
2019,125007617,128510119,3,38704835
2019,125007619,128510123,3,38704836
2019,125007629,128510134,16,38704837
2019,125007631,128510136,1,38704838
2019,125007642,128510149,24,38704840
2019,125007642,128510150,24,38704841
2019,125007643,128510152,18,38704843
2019,125007643,128510151,18,38704842
2019,125007644,128510153,15,38704844
2019,125007645,128510154,18,38704845
2019,125007647,128510155,3,38704846
2019,125007650,128510161,24,38704847
2019,125007651,128510162,3,38704848
2019,125007652,128510163,3,38704849
2019,125007656,128510169,18,38704852
2019,125007656,128510168,1,38704851
2019,125007656,128510167,24,38704850
2019,125007661,128510175,24,38704853
2019,125007671,128510184,3,38704854
2019,125007673,128510188,18,38704856
2019,125007673,128510187,18,38704855
2019,125007678,128510195,1,38704862
2019,125007679,128510196,15,38704863
2019,125007680,128510198,16,38704865
2019,125007680,128510197,16,38704864
2019,125007683,128510201,24,38704867
2019,125007683,128510200,1,38704866
2019,125007683,128510202,24,38704868
2019,125007684,128510203,17,38704869
2019,125007685,128510203,16,38704870
2019,125007686,128510204,24,38704871
2019,125007689,128510207,3,38704873
2019,125007694,128510213,1,38704875
2019,125007695,128510214,18,38704876
2019,125007701,128510221,21,38704879
2019,125007706,128510225,3,38704880
2019,125007707,128510226,18,38704881
2019,125007708,128510227,16,38704882
2019,125007710,128510229,1,38704883
2019,125007712,128510231,16,38704885
2019,125007712,128510232,16,38704886
2019,125007712,128510233,16,38704887
2019,125007713,128510234,3,38704888
2019,125007714,128510235,16,38704889
2019,125007716,128510237,3,38704890
2019,125007717,128510240,24,38704893
2019,125007717,128510238,24,38704891
2019,125007717,128510239,24,38704892
2019,125007726,128510243,18,38704901
2019,125007726,128510242,18,38704900
2019,125007728,128510245,1,38704902
2019,125007729,128510246,18,38704903
2019,125007731,128510248,18,38704904
2019,125007733,128510250,3,38704905
2019,125007735,128510253,3,38704906
2019,125007739,128510257,21,38704907
2019,125007743,128510261,3,38704912
2019,125007748,128510265,15,38704913
2019,125007749,128510266,24,38704914
2019,125007749,128510267,24,38704915
2019,125007749,128510268,24,38704916
2019,125007750,128510269,1,38704917
2019,125007752,128510271,1,38704919
2019,125007756,128510276,3,38704920
2019,125007757,128510277,3,38704921
2019,125007758,128510278,21,38704922
2019,125007762,128510281,1,38704923
2019,125007764,128510283,1,38704924
2019,125007765,128510284,9,38704925
2019,125007767,128510288,24,38704927
2019,125007767,128510291,24,38704930
2019,125007767,128510292,24,38704931
2019,125007767,128510290,24,38704929
2019,125007767,128510289,24,38704928
2019,125007767,128510287,24,38704926
2019,125007787,128510313,19,38704932
2019,125007795,128510325,14,38704934
2019,125007798,128510328,24,38704935
2019,125007799,128510329,3,38704936
2019,125007800,128510330,3,38704937
2019,125007801,128510331,9,38704938
2019,125007802,128510332,3,38704939
2019,125007803,128510333,3,38704940
2019,125007805,128510334,16,38704943
2019,125007804,128510334,16,38704941
2019,125007805,128510335,16,38704944
2019,125007804,128510335,16,38704942
2019,125007806,128510336,1,38704945
2019,125007811,128510342,18,38704947
2019,125007811,128510341,18,38704946
2019,125007811,128510343,18,38704948
2019,125007812,128510344,3,38704949
2019,125007814,128510346,3,38704950
2019,125007815,128510347,18,38704951
2019,125007815,128510348,3,38704952
2019,125007816,128510349,3,38704953
2019,125007822,128510355,19,38704954
2019,125007826,128510358,3,38704955
2019,125007830,128510363,3,38704956
2019,125007834,128510370,3,38704957
2019,125007835,128510370,16,38704958
2019,125007839,128510373,24,38704964
2019,125007837,128510372,24,38704959
2019,125007838,128510373,24,38704962
2019,125007839,128510372,24,38704963
2019,125007838,128510372,24,38704961
2019,125007837,128510373,24,38704960
2019,125007850,128510381,21,38704968
2019,125007853,128510384,21,38704969
2019,125007859,128510393,24,38704971
2019,125007859,128510392,24,38704970
2019,125007859,128510394,24,38704972
2019,125007860,128510395,18,38704973
2019,125007861,128510396,3,38704974
2019,125007864,128510401,3,38704975
2019,122692112,126117042,18,37744789
2019,122692113,126117042,18,37739955
2019,122692112,126117043,18,37739954
2019,122692113,126117043,18,37739956
2019,122692125,126125166,21,37739962
2019,122685860,126120616,16,37748321
2019,122685856,126120616,25,37739978
2019,122685860,126120618,16,37744811
2019,122685856,126117053,16,37739980
2019,122685860,126117053,16,37748323
2019,122685856,126120618,16,37748320
2019,122692156,126125197,3,37748335
2019,122689192,126120629,17,37744816
2019,122689190,126120629,3,37739983
2019,122696166,126125688,19,37740270
2019,122692612,126125688,19,37740268
2019,122692610,126125688,17,37740266
2019,122692610,126125687,17,37740265
2019,122692612,126125687,19,37740267
2019,122696166,126125687,19,37740269
2019,122692675,126121169,3,37745082
2019,122689691,126121169,24,37745080
2019,122689783,126117497,3,37745121
2019,122689847,126125898,3,37745152
2019,122696371,126125920,11,37748607
2019,122696381,126125928,3,37745179
2019,122692867,126125967,18,37745203
2019,122692867,126125965,18,37750404
2019,122692867,126125968,18,37745204
2019,122692867,126125966,18,37750405
2019,122692184,126120662,21,37748343
2019,122692331,126117174,1,37740075
2019,122692389,126125455,4,37748433
2019,122686025,126125455,3,37740109
2019,122689461,126120938,3,37740125
2019,122692615,126125692,3,37740272
2019,122689632,126121107,24,37745049
2019,122696208,126121148,19,37748525
2019,122692689,126117424,1,37748544
2019,122696252,126125786,3,37750326
2019,122689774,126125834,1,37745117
2019,122692751,126125839,3,37750346
2019,122689822,126125872,21,37748584
