"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2019,6,138502107
2019,9,138502126
2019,6,138502127
2019,9,138502129
2019,6,138502133
2019,6,138502136
2019,6,138502138
2019,6,138502139
2019,6,138502147
2019,9,138502169
2019,8,138502180
2019,8,138502181
2019,6,138502186
2019,8,138502210
2019,9,138502214
2019,9,138502215
2019,2,138502217
2019,6,138502221
2019,9,138502229
2019,6,138502232
2019,6,138502241
2019,6,138502242
2019,6,138502243
2019,9,138502269
2019,6,138502283
2019,6,138502294
2019,6,138502295
2019,6,138502296
2019,9,138502297
2019,6,138502304
2019,9,138502306
2019,6,138502308
2019,9,138502315
2019,6,138502324
2019,6,138502361
2019,6,138502368
2019,6,138502369
2019,9,138502373
2019,9,138502376
2019,9,138502378
2019,6,138502393
2019,9,138502394
2019,9,138502396
2019,9,138502413
2019,9,138502425
2019,6,138502430
2019,6,138502446
2019,6,138502461
2019,6,138502460
2019,6,138502465
2019,6,138502466
2019,9,138502482
2019,6,138502492
2019,6,138502494
2019,6,138502504
2019,1,138502509
2019,2,138502516
2019,6,138502517
2019,9,138502533
2019,6,138502543
2019,6,138502563
2019,9,138502571
2019,9,138502602
2019,9,138502607
2019,9,138502610
2019,6,138502617
2019,9,138502630
2019,9,138502660
2019,6,138502665
2019,7,138502667
2019,1,138502674
2019,6,138502677
2019,9,138502707
2019,9,138502713
2019,9,138502714
2019,8,138502733
2019,9,138502745
2019,6,138502749
2019,6,138502748
2019,9,138502752
2019,6,138502768
2019,6,138502784
2019,6,138502786
2019,6,138502814
2019,9,138502848
2019,8,138502854
2019,6,138502856
2019,6,138502862
2019,6,138502863
2019,9,138502875
2019,6,138502876
2019,6,138502881
2019,6,138502882
2019,9,138502884
2019,6,138502889
2019,6,138502899
2019,6,138502903
2019,6,138502907
2019,6,138502909
2019,2,138502913
2019,9,138502914
2019,6,138502935
2019,6,138502934
2019,6,138502944
2019,6,138502953
2019,9,138502958
2019,9,138502959
2019,9,138502975
2019,9,138502989
2019,6,138502995
2019,9,138502997
2019,9,138503003
2019,6,138503005
2019,9,138503008
2019,6,138503014
2019,9,138503036
2019,9,138503045
2019,9,138503051
2019,7,138503067
2019,5,138503067
2019,6,138503067
2019,9,138503073
2019,2,138503082
2019,1,138503082
2019,5,138503093
2019,8,138503102
2019,9,138503106
2019,9,138503115
2019,6,138503118
2019,9,138503119
2019,6,138503131
2019,9,138503135
2019,9,138503147
2019,6,138503200
2019,6,138503228
2019,9,138500498
2019,9,140568527
2019,6,140571192
2019,6,140571190
2019,6,140571191
2019,9,140568608
2019,8,140568609
2019,9,140568611
2019,6,140568472
2019,9,140571206
2019,9,140568655
2019,6,140568745
2019,8,140568750
2019,6,140568780
2019,6,140571350
2019,9,140568804
2019,6,140568864
2019,6,140571387
2019,3,140568932
2019,3,140571403
2019,1,140571403
2019,9,140568996
2019,8,140569021
2019,9,140569025
2019,9,140569040
2019,6,140569059
2019,8,140569071
2019,1,140571177
2019,2,140568670
2019,6,140568683
2019,6,140568717
2019,6,140568718
2019,9,140568724
2019,2,140568740
2019,6,140568747
2019,8,140568802
2019,7,140568829
2019,5,140568829
2019,6,140568829
2019,9,140568515
2019,9,140565549
2019,9,140565547
2019,8,140568596
2019,6,140568596
2019,6,140568597
2019,9,143125922
2019,6,138494644
2019,6,138485513
2019,6,138500386
2019,6,138500394
2019,6,138485553
2019,6,138485557
2019,9,138485566
2019,3,138485576
2019,6,138485576
2019,3,138485581
2019,6,138485582
2019,6,138485584
2019,6,138485586
2019,2,138485588
2019,6,138485632
2019,9,138485649
2019,9,138485652
2019,6,138485684
2019,2,138485689
2019,6,138485704
2019,2,138485726
2019,9,138485728
2019,6,138485734
2019,9,138485751
2019,9,138485752
2019,6,138485758
2019,3,138485765
2019,2,138485775
2019,9,138485776
2019,9,138485785
2019,6,138485812
2019,9,138485829
2019,6,138485832
2019,6,138485834
2019,9,138485835
2019,6,138485839
2019,9,138485848
2019,6,138485853
2019,3,138485856
2019,6,138485863
2019,6,138485872
2019,6,138485889
2019,6,138485895
2019,9,138485898
2019,9,138485896
2019,6,138485900
2019,6,138485901
2019,9,138485903
2019,9,138485904
2019,9,138485910
2019,6,138485921
2019,6,138485930
2019,6,138485929
2019,9,138485936
2019,9,138485938
2019,9,138485957
2019,9,138485964
2019,8,138485976
2019,8,138485983
2019,6,138485985
2019,9,138485992
2019,6,138486002
2019,9,138486008
2019,6,138486028
2019,6,138486029
2019,6,138486031
2019,9,138486037
2019,9,138486046
2019,9,138486047
2019,9,138486048
2019,9,138486051
2019,1,138486052
2019,6,138486058
2019,6,138486059
2019,8,138486066
2019,6,138486066
2019,6,138486067
2019,6,138486069
2019,6,138486072
2019,6,138486076
2019,9,138486086
2019,6,138486089
2019,8,138486090
2019,6,138486090
2019,6,138486096
2019,6,138486097
2019,6,138486106
2019,6,138486114
2019,6,138486124
2019,9,138486132
2019,6,138486134
2019,6,138501143
2019,6,138501146
2019,9,138501149
2019,9,138501158
2019,9,138501167
2019,9,138501174
2019,9,138501175
2019,3,138501178
2019,6,138501178
2019,6,138501186
2019,10,138501189
2019,9,138501195
2019,9,138501206
2019,9,138501248
2019,9,138501256
