"DATA_YEAR","VICTIM_ID","INJURY_ID"
2019,125002098,5
2019,125006742,4
2019,125006749,4
2019,125002116,4
2019,125006758,4
2019,125014568,5
2019,129256352,4
2019,129256352,3
2019,129263538,5
2019,129256382,4
2019,129256385,5
2019,129256386,5
2019,129256387,4
2019,129256389,5
2019,129256391,4
2019,129256394,3
2019,129256395,5
2019,129256397,4
2019,129256396,4
2019,129256399,4
2019,129256403,5
2019,129256407,5
2019,129256408,4
2019,129256409,4
2019,129256410,2
2019,129256410,1
2019,129256410,3
2019,129256412,5
2019,129256414,4
2019,129256416,4
2019,129256419,4
2019,129256420,4
2019,129256421,5
2019,129256422,5
2019,129256424,5
2019,129256430,5
2019,129256437,4
2019,129256443,5
2019,129256445,5
2019,129256446,4
2019,129256447,4
2019,129256449,4
2019,129256450,4
2019,129256452,5
2019,129256453,5
2019,129256454,4
2019,129256459,5
2019,129256465,5
2019,129256456,5
2019,129256462,5
2019,129256461,5
2019,129256464,5
2019,129256458,5
2019,129256455,5
2019,129256460,4
2019,129256457,5
2019,129256466,5
2019,129256463,5
2019,129256468,4
2019,129256473,5
2019,129256481,5
2019,129256484,4
2019,129256485,4
2019,129256486,5
2019,129256489,5
2019,129256490,5
2019,129256491,4
2019,129256492,4
2019,129256494,4
2019,129256497,5
2019,129256495,5
2019,129256496,5
2019,129256498,5
2019,129256504,4
2019,129256505,5
2019,129256512,4
2019,129256513,4
2019,129256518,5
2019,129256523,5
2019,129256535,4
2019,129256539,5
2019,129256544,4
2019,129256545,4
2019,129256546,4
2019,129256552,5
2019,129256557,4
2019,129256558,4
2019,129256559,4
2019,129256565,5
2019,129256566,5
2019,129256568,5
2019,126821615,4
2019,126821694,5
2019,126821705,4
2019,126821767,5
2019,126821766,5
2019,126821772,4
2019,126821786,5
2019,126821787,5
2019,126821788,5
2019,126821790,4
2019,126821656,5
2019,126821657,5
2019,126817560,4
2019,126821777,5
2019,126817640,5
2019,126821796,4
2019,126821804,5
2019,126821803,5
2019,126821810,5
2019,126821809,5
2019,126821824,4
2019,126821830,4
2019,126821829,4
2019,126821837,5
2019,126821857,4
2019,126821918,5
2019,126821936,5
2019,126817749,5
2019,126821937,5
2019,126821935,5
2019,126821939,5
2019,126821951,4
2019,126821955,5
2019,126821956,5
2019,126821987,5
2019,126821997,4
2019,126821999,4
2019,126822020,4
2019,126822081,5
2019,126822083,4
2019,126822086,4
2019,126822088,3
2019,126822088,2
2019,126822092,4
2019,126822093,4
2019,126822091,4
2019,126822096,6
2019,126822095,6
2019,126822097,6
2019,126822098,6
2019,126822102,4
2019,126822104,4
2019,126822105,4
2019,126822114,5
2019,126822146,5
2019,126822166,5
2019,126822171,2
2019,126822171,3
2019,126822178,5
2019,126822177,4
2019,126822180,4
2019,126822190,5
2019,126822196,4
2019,126822207,5
2019,126822212,5
2019,126822213,4
2019,126822209,4
2019,126822211,5
2019,126822210,4
2019,126822227,5
2019,126822232,4
2019,126822238,5
2019,126822239,4
2019,128260737,3
2019,128260916,4
2019,131328802,4
2019,131328729,5
2019,131328810,5
2019,129258194,4
2019,129258222,4
2019,129258222,8
2019,129258261,5
2019,129263263,4
2019,129258269,5
2019,129263296,4
2019,129258284,5
2019,129258288,4
2019,129258291,4
2019,129263340,5
2019,129258295,4
2019,129263344,5
2019,129263349,5
2019,129263343,5
2019,129263348,5
2019,129258294,5
2019,129263346,5
2019,129263345,5
2019,129263347,5
2019,129258296,4
2019,129258298,4
2019,129258299,4
2019,129263383,4
2019,129258309,5
2019,129258310,5
2019,129258312,5
2019,129258311,4
2019,129258314,5
2019,129258320,5
2019,129258322,5
2019,129258325,5
2019,129258329,4
2019,129258339,5
2019,131328821,4
2019,131328869,5
2019,131328897,4
2019,131328942,4
2019,131328946,4
2019,131328952,4
2019,131328955,4
2019,131328994,1
2019,131328996,5
2019,131328998,4
2019,131328999,5
2019,131328998,3
2019,131329002,5
2019,131329006,4
2019,131329010,5
2019,131329009,5
2019,131329021,5
2019,131329020,5
2019,131329018,4
2019,131329019,5
2019,131329042,4
2019,131329047,5
2019,131329050,5
2019,131329051,4
2019,131329052,4
2019,131329056,4
2019,131329057,5
2019,131329062,5
2019,131329061,4
2019,131329068,4
2019,131329069,4
2019,131329072,5
2019,131329079,4
2019,131329087,5
2019,131329088,5
2019,131329086,5
2019,131329095,4
2019,131329097,5
2019,131329106,5
2019,131329108,5
2019,131329109,5
2019,131329110,5
2019,131329117,4
2019,131329118,4
2019,131329120,4
2019,131329122,4
2019,131329123,5
2019,131329124,5
2019,131329128,5
2019,131329132,4
2019,131329133,4
2019,131329134,5
2019,131329137,5
2019,131329142,4
2019,131329141,5
2019,131329147,5
2019,131329148,5
2019,131329149,4
2019,131329152,5
2019,131329154,5
2019,131329157,4
2019,131329162,4
2019,131329175,5
2019,131329182,5
2019,131329184,5
2019,131329186,5
2019,131329191,5
2019,131329192,5
2019,131329193,4
2019,131329193,7
2019,131329197,4
2019,131329200,5
2019,131329202,5
2019,131329207,4
2019,131329213,5
2019,131329211,5
2019,131329212,5
2019,131329210,5
2019,131329214,4
2019,131329216,5
2019,131329221,5
2019,131329223,5
2019,131329225,5
2019,131329226,5
2019,131329227,4
2019,131329230,5
2019,131329236,5
2019,131329237,5
2019,131329243,5
2019,131329240,5
2019,131329245,5
2019,131329246,5
2019,131329244,5
2019,131329242,5
2019,131329241,5
2019,131329247,5
