"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2019,21,142131028
2019,21,142131030
2019,21,142131031
2019,21,142131032
2019,21,142131033
2019,21,142131034
2019,21,142131036
2019,21,142131035
2019,21,142131037
2019,21,142131039
2019,21,142131038
2019,21,142131040
2019,21,142131041
2019,21,142131042
2019,21,142131043
2019,21,142131044
2019,21,142131047
2019,21,142131048
2019,21,142131050
2019,21,142131051
2019,21,142131052
2019,21,142131158
2019,21,142131159
2019,21,142131160
2019,21,142131161
2019,21,142131162
2019,21,142131163
2019,22,142131164
2019,21,142131165
2019,21,142131166
2019,21,142129387
2019,21,142129362
2019,21,142129369
2019,21,142129370
2019,21,142129366
2019,21,142129367
2019,21,142129309
2019,21,142129335
2019,21,142129423
2019,21,142129421
2019,21,142129500
2019,21,142129509
2019,21,142129523
2019,21,142129524
2019,21,142129531
2019,21,142129545
2019,21,142129558
2019,21,142129557
2019,21,142129573
2019,21,142129577
2019,21,142129586
2019,21,142129585
2019,21,142129603
2019,21,142129614
2019,21,142129613
2019,21,142129616
2019,21,142129622
2019,21,142129637
2019,21,142129648
2019,21,142129649
2019,21,142129655
2019,21,142129657
2019,21,142129659
2019,21,142129662
2019,21,142129663
2019,21,142129664
2019,21,142129665
2019,21,142129672
2019,21,142129671
2019,21,142129670
2019,21,142129673
2019,21,142129690
2019,21,142129696
2019,21,142129702
2019,21,142129703
2019,21,142129705
2019,21,142129713
2019,21,142129715
2019,21,142129718
2019,21,142129721
2019,21,142129311
2019,21,142129391
2019,21,142129392
2019,21,142129388
2019,21,142129413
2019,21,142129419
2019,21,142129417
2019,21,142129435
2019,21,142129440
2019,21,142129468
2019,21,142129472
2019,21,142129480
2019,21,146755935
2019,21,146744752
2019,21,146744758
2019,21,146744763
2019,21,146744781
2019,21,146744786
2019,21,146744792
2019,21,146744799
2019,21,146744805
2019,21,146755947
2019,21,146744811
2019,21,146744812
2019,21,146744814
2019,21,146744820
2019,21,146744823
2019,21,146744827
2019,21,146744829
2019,21,146744831
2019,21,146744832
2019,21,146744834
2019,21,146744836
2019,21,146744838
2019,21,146744837
2019,21,146744839
2019,21,146755956
2019,21,146755955
2019,21,146744840
2019,21,146755961
2019,21,146744842
2019,21,146744846
2019,21,146744845
2019,21,146744848
2019,21,146744852
2019,21,146744853
2019,21,146744856
2019,21,146744857
2019,21,146744859
2019,21,146755968
2019,21,146755970
2019,21,146755969
2019,21,146744863
2019,21,146744864
2019,21,146744865
2019,21,146744870
2019,21,146744872
2019,21,146744873
2019,21,146744874
2019,21,146755974
2019,21,146744877
2019,21,146744879
2019,21,146744878
2019,21,146744883
2019,21,146744884
2019,21,146744887
2019,21,146744888
2019,21,146755979
2019,21,146744891
2019,21,146744897
2019,21,146755981
2019,21,146755980
2019,21,146744902
2019,21,146744899
2019,21,146744900
2019,21,146744901
2019,21,146755983
2019,21,146744910
2019,21,146744911
2019,21,146744913
2019,21,146744918
2019,21,146744919
2019,21,146744920
2019,21,146744933
2019,21,146744935
2019,21,146744936
2019,21,146755992
2019,21,146744940
2019,21,146744941
2019,21,146744943
2019,21,146744942
2019,21,146744944
2019,22,146744945
2019,21,146744946
2019,21,146744947
2019,21,146744948
2019,21,142129725
2019,21,142129727
2019,21,142129741
2019,21,142129750
2019,21,142129761
2019,21,142129758
2019,21,142129760
2019,21,142129763
2019,21,142129764
2019,21,142129767
2019,21,142129766
2019,21,142129769
2019,21,142129771
2019,21,142129775
2019,21,142129790
2019,21,142129789
2019,21,142129791
2019,21,142129795
2019,21,142129796
2019,21,142129798
2019,21,142129799
2019,21,142129805
2019,21,142129806
2019,21,142129807
2019,21,142129809
2019,21,142129821
2019,21,142129823
2019,21,142129827
2019,21,142129831
2019,21,142129830
2019,21,142129835
2019,21,142129843
2019,21,142129846
2019,21,142129847
2019,21,142129852
2019,21,142129851
2019,21,142129855
2019,21,142129856
2019,21,142129861
2019,21,142129863
2019,21,142129862
2019,21,142129866
2019,21,142129865
2019,21,142129870
2019,21,142129871
2019,21,142129877
2019,21,142129879
2019,21,142129884
2019,21,142129882
2019,21,142129885
2019,21,142129893
2019,21,142129894
2019,21,142129895
2019,22,142129896
2019,21,142129902
2019,21,142129903
2019,21,142129906
2019,21,142129907
2019,21,142129908
2019,21,142129912
2019,21,142129919
2019,21,142129920
2019,21,142129921
2019,21,142129923
2019,21,142129922
2019,21,142129924
2019,21,142129925
2019,21,142129927
2019,21,142129928
2019,21,142129930
2019,21,142129932
2019,21,142129936
2019,21,142129937
2019,21,142129942
2019,21,142129945
2019,21,142129948
2019,21,142129950
2019,21,142129955
2019,21,142129954
2019,21,142129958
2019,21,142129963
2019,21,142129967
2019,21,142129966
2019,21,142129969
2019,21,142129971
2019,21,142129974
2019,21,142129976
2019,21,142129977
2019,21,142129978
2019,21,142129980
2019,21,142129984
2019,21,142129989
2019,21,142129992
2019,21,142130000
2019,21,142130004
2019,21,142130005
2019,21,142129503
2019,21,142129521
2019,21,146747362
2019,21,146747363
2019,21,146747361
2019,21,146744701
2019,21,146744711
2019,21,146744712
2019,21,146744744
2019,21,146744747
2019,21,146744773
2019,21,146755944
2019,21,146747414
2019,21,146747413
2019,21,146744789
2019,21,146747419
2019,21,146747422
2019,21,146747421
2019,21,146747429
2019,21,146744813
2019,21,146744815
2019,21,146744818
2019,21,146744825
2019,21,146744824
2019,21,146744826
2019,21,146744906
2019,21,146744908
2019,21,146744909
2019,21,146744917
2019,21,146744915
2019,21,146744924
