DATA_YEAR_x,ARRESTEE_ID,INCIDENT_ID,ARRESTEE_SEQ_NUM,ARREST_DATE,SEASON,ARREST_TYPE_ID,MULTIPLE_INDICATOR,OFFENSE_TYPE_ID_x,AGE_ID,AGE_NUM,SEX_CODE,RACE_ID,ETHNICITY_ID,RESIDENT_CODE,UNDER_18_DISPOSITION_CODE,CLEARANCE_IND,AGE_RANGE_LOW_NUM,AGE_RANGE_HIGH_NUM,ARREST_TYPE_CODE,ARREST_TYPE_NAME,OFFENSE_CODE,OFFENSE_NAME,CRIME_AGAINST,CT_FLAG,HC_FLAG,HC_CODE,OFFENSE_CATEGORY_NAME,OFFENSE_GROUP,DATA_YEAR_y,OFFENSE_ID,OFFENSE_TYPE_ID_y,ATTEMPT_COMPLETE_FLAG,LOCATION_ID,NUM_PREMISES_ENTERED,METHOD_ENTRY_CODE,LOCATION_NAME
2019,36255261,118892398,1,2019-10-09,autumn,2,N,16,5,12,F,2,2,R,H,,12,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,144125469,16,C,41,,,School-Elementary/Secondary
2019,31981047,107364821,1,2019-01-17,winter,2,N,16,5,15,F,1,2,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,131757109,16,C,41,,,School-Elementary/Secondary
2019,31981047,107364821,1,2019-01-17,winter,2,N,16,5,15,F,1,2,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,131757110,35,C,41,,,School-Elementary/Secondary
2019,31981046,107364816,1,2019-01-17,winter,2,N,16,5,15,M,2,2,R,H,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,131757105,16,C,41,,,School-Elementary/Secondary
2019,33182445,111314604,1,2019-03-05,winter,2,N,16,5,17,M,1,3,R,H,,17,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,136130682,16,C,41,,,School-Elementary/Secondary
2019,31981061,107364875,1,2019-01-22,winter,2,N,16,5,18,M,1,2,R,,,18,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,131757169,35,C,41,,,School-Elementary/Secondary
2019,31981061,107364875,1,2019-01-22,winter,2,N,16,5,18,M,1,2,R,,,18,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,131757168,16,C,41,,,School-Elementary/Secondary
2019,36255369,118892811,1,2019-10-22,autumn,2,N,16,5,16,F,2,2,R,R,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,144125972,16,C,41,,,School-Elementary/Secondary
2019,36255370,118892821,1,2019-10-22,autumn,2,N,16,5,16,M,2,2,R,H,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,144125983,16,C,41,,,School-Elementary/Secondary
2019,36255377,118892846,1,2019-10-23,autumn,2,N,16,5,16,F,2,2,R,R,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,144126014,16,C,41,,,School-Elementary/Secondary
2019,36255385,118892895,1,2019-10-24,autumn,2,N,16,5,14,M,2,2,R,R,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,144126068,16,C,41,,,School-Elementary/Secondary
2019,36255418,118893049,1,2019-10-29,autumn,2,N,16,5,14,M,1,2,R,R,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,144131251,16,C,41,,,School-Elementary/Secondary
2019,36255434,118893116,1,2019-10-31,autumn,2,N,16,5,16,M,1,2,R,R,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,144131330,16,C,41,,,School-Elementary/Secondary
2019,36255168,118892144,1,2019-10-02,autumn,2,N,16,5,16,M,1,2,R,R,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,144125144,16,C,41,,,School-Elementary/Secondary
2019,36247366,118892200,1,2019-10-04,autumn,2,N,16,5,15,M,2,2,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,144125212,16,C,41,,,School-Elementary/Secondary
2019,34059510,113397075,1,2019-04-02,spring,2,N,16,5,15,M,1,1,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,2019,138500401,35,C,41,,,School-Elementary/Secondary
