ARRESTEE_ID,INCIDENT_ID,ARRESTEE_SEQ_NUM,SEASON,ARREST_TYPE_ID,MULTIPLE_INDICATOR,AGE_ID,AGE_NUM,SEX_CODE,RACE_ID,ETHNICITY_ID,RESIDENT_CODE,UNDER_18_DISPOSITION_CODE,CLEARANCE_IND,AGE_RANGE_LOW_NUM,AGE_RANGE_HIGH_NUM,ARREST_TYPE_CODE,ARREST_TYPE_NAME,OFFENSE_CODE,OFFENSE_NAME,CRIME_AGAINST,CT_FLAG,HC_FLAG,HC_CODE,OFFENSE_CATEGORY_NAME,OFFENSE_GROUP,OFFENSE_ID,ATTEMPT_COMPLETE_FLAG,LOCATION_ID,NUM_PREMISES_ENTERED,METHOD_ENTRY_CODE,LOCATION_NAME
36255418,118893049,1,autumn,2,N,5,14,M,1,2,R,R,,14,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,144131251,C,41,,,School-Elementary/Secondary
36255434,118893116,1,autumn,2,N,5,16,M,1,2,R,R,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,144131330,C,41,,,School-Elementary/Secondary
36255168,118892144,1,autumn,2,N,5,16,M,1,2,R,R,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,144125144,C,41,,,School-Elementary/Secondary
36247366,118892200,1,autumn,2,N,5,15,M,2,2,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,144125212,C,41,,,School-Elementary/Secondary
34059510,113397075,1,spring,2,N,5,15,M,1,1,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,138500401,C,41,,,School-Elementary/Secondary
34059510,113397075,1,spring,2,N,5,15,M,1,1,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,138500400,C,41,,,School-Elementary/Secondary
35966790,118021527,1,summer,2,N,5,15,M,1,1,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,143136906,C,41,,,School-Elementary/Secondary
35966801,118021586,1,summer,2,N,5,16,M,1,1,R,R,,16,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,143136978,C,41,,,School-Elementary/Secondary
35966872,118021796,1,autumn,2,N,5,17,M,2,2,R,R,,17,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,143137235,C,41,,,School-Elementary/Secondary
35966923,118021983,1,autumn,2,N,5,15,M,1,1,R,R,,15,0,S,Summoned / Cited,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,A,143137465,C,41,,,School-Elementary/Secondary
